rank,feature,mean_abs_shap_value
607,Route Clt Buf,0.00015278276432595844
608,Route Bhm Dfw,0.000152511974136391
609,Route Bna Dca,0.0001515601506879218
610,Route Clt Iah,0.00015137809256001645
611,Route Dca Ecp,0.00015119423717128915
612,Route Dca Btv,0.0001510729210492895
613,Route Rdu Fll,0.00015056158052600746
614,Route Ont Den,0.00014927087894984415
615,Dest State Abr Ar,0.00014907584933995568
616,Route Ord Ict,0.0001488437050213525
617,Route Phx Sat,0.0001484929371312317
618,Route Fll Clt,0.000148339503702211
619,Route Slc Bos,0.00014770150321224157
620,Route Sna Sea,0.00014764980007136495
621,Dest State Abr Sc,0.0001476253304491437
622,Route Lga Den,0.00014735129934615793
623,Route Ord Grr,0.00014634664191852867
624,Route Den Lnk,0.00014629557867604326
625,Route Las Dtw,0.0001462567796267945
626,Route Den Ama,0.00014590751436796507
627,Route Tpa Iah,0.0001455896737331413
628,Route Aus Den,0.00014519800091431794
629,Route Clt Grr,0.0001447535236171467
630,Route Jfk Bos,0.00014337655382705872
631,Route Lax Ogg,0.00014328559250779082
632,Route Alb Mco,0.00014310300417992445
633,Route Ord Den,0.00014162642637108072
634,Route Iah San,0.00014091120129290104
635,Route Mdw Oma,0.00013994594116036922
636,Route Phx Atl,0.00013948184405929547
637,Route Lax Den,0.0001393846447597919
638,Route Dtw Dca,0.0001381373382821714
639,Route Den Ord,0.0001375920233511449
640,Route Mem Clt,0.00013640631116185496
641,Route Buf Mco,0.000135878241720013
642,Route Phl Eyw,0.00013531592172377692
643,Route Phx Eug,0.00013495499396105735
644,Route Msy Den,0.00013442959208912958
645,Route Clt Aus,0.00013441519433347
646,Route Jfk Las,0.00013433692182640572
647,Route Ind Mco,0.0001340088765277762
648,Route Bos Sju,0.0001323302495187589
649,Route Lnk Den,0.00013209218125775332
